Name,Allegiances,Book of Death,Gender,Nobility,alive_book1,alive_book2,alive_book3,alive_book45
Dareon,Night's Watch,4,1,0,1,1,1,0
Dick Crabb,None,4,1,0,1,1,1,0
Gregor Clegane,Lannister,4,1,1,1,1,1,0
Gyles Rosby,Lannister,4,1,1,1,1,1,0
Hyle Hunt,None,4,1,1,1,1,1,0
Jate,House Lannister,4,1,0,1,1,1,0
Marillion,Arryn,4,1,0,1,1,1,0
Oppo,None,4,1,0,1,1,1,0
Pate (novice),None,4,1,0,1,1,1,0
Pyg,None,4,1,0,1,1,1,0
Rorge,None,4,1,0,1,1,1,0
Ryman Frey,None,4,1,1,1,1,1,0
Sandor Clegane,None,4,1,1,1,1,1,0
Sawane Botley,Greyjoy,4,1,1,1,1,1,0
Senelle,House Lannister,4,0,0,1,1,1,0
Shagwell,None,4,1,0,1,1,1,0
Shyra Errol,Baratheon,4,0,1,1,1,1,0
Tanda Stokeworth,Lannister,4,0,1,1,1,1,0
Timeon,None,4,1,0,1,1,1,0
Talbert Serry,Tyrell,4,1,1,1,1,1,0
Adrack Humble,House Greyjoy,5,1,1,1,1,1,0
Aenys Frey,None,5,0,1,1,1,1,0
Alan of Rosby,Night's Watch,5,1,1,1,1,1,0
Barsena,None,5,0,0,1,1,1,0
Benfrey Frey,None,5,1,1,1,1,1,0
Bryen Farring,Baratheon,5,1,1,1,1,1,0
Clubfoot Karl,Night's Watch,5,1,0,1,1,1,0
Dagon Codd,Greyjoy,5,1,1,1,1,1,0
Dirk,Night's Watch,5,1,0,1,1,1,0
Falyse Stokeworth,Lannister,5,0,1,1,1,1,0
Frenya,Wildling,5,0,0,1,1,1,0
Garth Greyfeather,Night's Watch,5,1,0,1,1,1,0
Garth of Greenaway,Night's Watch,5,1,0,1,1,1,0
Groleo,House Targaryen,5,1,0,1,1,1,0
Grubbs,Night's Watch,5,1,0,1,1,1,0
Hairy Hal,Night's Watch,5,1,0,1,1,1,0
Hamish the Harper,None,5,1,0,1,1,1,0
Harghaz,None,5,1,0,1,1,1,0
Harrag Sharp,Greyjoy,5,1,1,1,1,1,0
Harwood Fell,House Baratheon,5,1,1,1,1,1,0
Hazzea,None,5,0,0,1,1,1,0
Holly,Wildling,5,0,0,1,1,1,0
Hubard Rambton,Baratheon,5,1,1,1,1,1,0
Jack Bulwer,Night's Watch,5,1,0,1,1,1,0
Janos Slynt,None,5,1,1,1,1,1,0
Jared Frey,None,5,1,1,1,1,1,0
Jaremy Rykker,Night's Watch,5,1,1,1,1,1,0
Jarman Buckwell,Night's Watch,5,1,0,1,1,1,0
Kerwin,House Tyrell,5,1,0,1,1,1,0
Kevan Lannister,House Lannister,5,1,1,1,1,1,0
Khrazz,None,5,1,0,1,1,1,0
Kyra,House Stark,5,0,0,1,1,1,0
Little Walder Frey,None,5,1,1,1,1,1,0
Lord of Bones,Wildling,5,1,1,1,1,1,0
Luton,None,5,1,0,1,1,1,0
Mallador Locke,Night's Watch,5,1,0,1,1,1,0
Mawney,Night's Watch,5,1,0,1,1,1,0
Mossador,House Targaryen,5,1,0,1,1,1,0
Muttering Bill,Night's Watch,5,1,0,1,1,1,0
Myrtle,Wildling,5,0,0,1,1,1,0
Nurse,None,5,1,0,1,1,1,0
Ollo Lophand,Night's Watch,5,1,0,1,1,1,0
Orphan Oss,Night's Watch,5,1,0,1,1,1,0
Patrek of King's Mountain,Baratheon,5,1,1,1,1,1,0
Pycelle,House Lannister,5,1,0,1,1,1,0
Quentyn Martell,Martell,5,1,1,1,1,1,0
Ralf Kenning,Greyjoy,5,1,0,1,1,1,0
Rhaegar Frey,None,5,1,1,1,1,1,0
Rolfe the Dwarf,House Greyjoy,5,1,0,1,1,1,0
Rowan,Wildling,5,1,0,1,1,1,0
Squirrel,Wildling,5,0,0,1,1,1,0
Stalwart Shield,Targaryen,5,1,0,1,1,1,0
Symond Frey,None,5,1,1,1,1,1,0
Thistle,Wildling,5,0,0,1,1,1,0
Varamyr,Wildling,5,1,0,1,1,1,0
Willam Wells,Martell,5,1,0,1,1,1,0
Willow Witch-eye,Wildling,5,0,0,1,1,1,0
Yellow Dick,None,5,1,0,1,1,1,0
Yurkhaz zo Yunzak,None,5,1,0,1,1,1,0
Yezzan Zo Qaggaz,None,5,1,1,1,1,1,0
Torwynd the Tame,Wildling,5,1,0,1,1,1,0
Addam Marbrand,Lannister,,1,1,1,1,1,1
Aegon Targaryen,House Targaryen,,1,1,1,1,1,1
Aemon Costayne,Lannister,,1,1,1,1,1,1
Aemon Estermont,Baratheon,,1,1,1,1,1,1
Aeron Greyjoy,House Greyjoy,,1,1,1,1,1,1
Aethan,Night's Watch,,1,0,1,1,1,1
Aggo,House Targaryen,,1,0,1,1,1,1
Alayaya,None,,0,0,1,1,1,1
Albar Royce,Arryn,,1,1,1,1,1,1
Albett,Night's Watch,,1,0,1,1,1,1
Alerie Hightower,House Tyrell,,0,1,1,1,1,1
Alesander Staedmon,Baratheon,,1,1,1,1,1,1
Alia of Braavos,None,,0,0,1,1,1,1
Alla Tyrell,House Tyrell,,0,1,1,1,1,1
Alliser Thorne,Night's Watch,,1,0,1,1,1,1
Alyn Ambrose,Tyrell,,1,1,1,1,1,1
Alyn Estermont,Baratheon,,1,1,1,1,1,1
Alyn Stackspear,Lannister,,1,1,1,1,1,1
Alys Karstark,Stark,,0,1,1,1,1,1
Alysane Mormont,Stark,,0,1,1,1,1,1
Alyx Frey,None,,1,1,1,1,1,1
Ambrode,Greyjoy,,1,0,1,1,1,1
Andar Royce,Arryn,,1,1,1,1,1,1
Andrew Estermont,Baratheon,,1,1,1,1,1,1
Andrey Dalt,Martell,,1,1,1,1,1,1
Andrik,Greyjoy,,1,1,1,1,1,1
Anguy,None,,1,0,1,1,1,1
Antario Jast,Lannister,,1,1,1,1,1,1
Anya Waynwood,Arryn,,0,1,1,1,1,1
Archibald Yronwood,Martell,,1,1,1,1,1,1
Ardrian Celtigar,Baratheon,,1,1,1,1,1,1
Areo Hotah,House Martell,,1,0,1,1,1,1
Arianne Martell,House Martell,,0,1,1,1,1,1
Arneld,Lannister,,1,0,1,1,1,1
Arnolf Karstark,Stark,,1,1,1,1,1,1
Arron,Night's Watch,,1,0,1,1,1,1
Arron Qorgyle,Martell,,1,1,1,1,1,1
Arryk (Guard),House Tyrell,,1,0,1,1,1,1
Arson,Wildling,,1,0,1,1,1,1
Arthor Karstark,Stark,,1,1,1,1,1,1
Arwyn Frey,None,,0,1,1,1,1,1
Arwyn Oakheart,Tyrell,,0,1,1,1,1,1
Arya Stark,Stark,,0,1,1,1,1,1
Asha Greyjoy,House Greyjoy,,0,1,1,1,1,1
Aurane Waters,Lannister,,1,0,1,1,1,1
Axell Florent,Baratheon,,1,1,1,1,1,1
Azzak,None,,1,1,1,1,1,1
Ballabar,Lannister,,1,0,1,1,1,1
Balon Swann,Lannister,,1,1,1,1,1,1
Barbrey Dustin,Stark,,0,1,1,1,1,1
Barristan Selmy,Targaryen,,1,1,1,1,1,1
Barth (brewer),House Stark,,1,0,1,1,1,1
Bass,Night's Watch,,1,0,1,1,1,1
Bayard Norcross,Tyrell,,1,1,1,1,1,1
Bearded Ben,Night's Watch,,1,0,1,1,1,1
Becca,House Arryn,,0,0,1,1,1,1
Bedwyck,Night's Watch,,1,0,1,1,1,1
Belaquo,None,,1,0,1,1,1,1
Bella,None,,0,0,1,1,1,1
Bellegere Otherys (courtesan),None,,0,1,1,1,1,1
Bellonara Otherys,None,,0,1,1,1,1,1
Belwas,House Targaryen,,1,0,1,1,1,1
Ben,None,,1,0,1,1,1,1
Ben Bones,None,,1,0,1,1,1,1
Ben Plumm,None,,1,0,1,1,1,1
Benedar Belmore,Arryn,,1,1,1,1,1,1
Bessa (Winterfell),Stark,,0,0,1,1,1,1
Beth Cassel,Stark,,0,1,1,1,1,1
Bhakaz zo Loraq,None,,1,1,1,1,1,1
Big Boil,Wildling,,1,0,1,1,1,1
Big Walder Frey,None,,1,1,1,1,1,1
Black Bernarr,Night's Watch,,1,0,1,1,1,1
Black Walder Frey,None,,1,1,1,1,1,1
Blane,Night's Watch,,1,0,1,1,1,1
Bloodbeard,None,,1,0,1,1,1,1
Blue Bard,House Tyrell,,1,0,1,1,1,1
Bonifer Hasty,Lannister,,1,1,1,1,1,1
Borcas,Night's Watch,,1,0,1,1,1,1
Boremund Harlaw,Greyjoy,,1,1,1,1,1,1
Boros Blount,Baratheon,,1,1,1,1,1,1
Borroq,Wildling,,1,0,1,1,1,1
Bowen Marsh,Night's Watch,,1,0,1,1,1,1
Bran Stark,House Stark,,1,1,1,1,1,1
Brandon Norrey,Stark,,1,1,1,1,1,1
Brenett,None,,1,0,1,1,1,1
Brienne of Tarth,Stark,,0,1,1,1,1,1
Bronn,Lannister,,1,1,1,1,1,1
Brusco,None,,1,0,1,1,1,1
Bryen,None,,1,0,1,1,1,1
Brynden Rivers,House Targaryen,,1,1,1,1,1,1
Brynden Tully,House Tully,,1,1,1,1,1,1
Butterbumps,House Tyrell,,1,0,1,1,1,1
Byan Votyris,None,,1,0,1,1,1,1
Byron,Arryn,,1,0,1,1,1,1
Cadwyn,House Lannister,,1,0,1,1,1,1
Caleotte,House Martell,,1,0,1,1,1,1
Cellador,Night's Watch,,1,0,1,1,1,1
Cersei Frey,None,,0,1,1,1,1,1
Cersei Lannister,House Lannister,,0,1,1,1,1,1
Chataya,None,,0,0,1,1,1,1
Chella,Lannister,,0,0,1,1,1,1
Clayton Suggs,Baratheon,,1,0,1,1,1,1
Clement Piper,Tully,,1,1,1,1,1,1
Clydas,Night's Watch,,1,0,1,1,1,1
Coldhands,None,,1,0,1,1,1,1
Colemon,House Arryn,,1,0,1,1,1,1
Colen of Greenpools,House Baratheon,,1,1,1,1,1,1
Conwy,Night's Watch,,1,0,1,1,1,1
Corliss Penny,Baratheon,,1,0,1,1,1,1
Cotter Pyke,Night's Watch,,1,0,1,1,1,1
Cregan Karstark,Stark,,1,1,1,1,1,1
Creighton Longbough,None,,1,0,1,1,1,1
Cuger,Night's Watch,,1,0,1,1,1,1
Cutjack,None,,1,0,1,1,1,1
Daario Naharis,Targaryen,,1,0,1,1,1,1
Daemon Sand,Martell,,1,0,1,1,1,1
Daenerys Targaryen,House Targaryen,,0,1,1,1,1,1
Dagmer,House Greyjoy,,1,0,1,1,1,1
Dalla (Dragonstone),Baratheon,,0,0,1,1,1,1
Damon Dance-for-Me,None,,1,0,1,1,1,1
Damon Vypren,None,,1,1,1,1,1,1
Dancy,None,,0,0,1,1,1,1
Danwell Frey,None,,1,1,1,1,1,1
Daven Lannister,House Lannister,,1,1,1,1,1,1
Davos Seaworth,Baratheon,,1,1,1,1,1,1
Denys Drumm,Greyjoy,,1,1,1,1,1,1
Denys Mallister,Night's Watch,,1,1,1,1,1,1
Dermot,Baratheon,,1,0,1,1,1,1
Desmond Grell,Tully,,1,1,1,1,1,1
Devan Seaworth,Baratheon,,1,1,1,1,1,1
Deziel Dalt,Martell,,1,1,1,1,1,1
Dhazzar,None,,1,1,1,1,1,1
Dickon Manwoody,Martell,,1,1,1,1,1,1
Donnel Drumm,Greyjoy,,1,1,1,1,1,1
Donnel Haigh,None,,1,1,1,1,1,1
Donnel Hill,Night's Watch,,1,0,1,1,1,1
Donnel Waynwood,Tully,,1,1,1,1,1,1
Donnis,House Stark,,1,0,1,1,1,1
Donyse,None,,0,0,1,1,1,1
Doran Martell,Martell,,1,1,1,1,1,1
Draqaz,None,,1,1,1,1,1,1
Dunsen,None,,1,0,1,1,1,1
Dunstan Drumm,Greyjoy,,1,1,1,1,1,1
Duram Bar Emmon,Baratheon,,1,1,1,1,1,1
Dywen,Night's Watch,,1,0,1,1,1,1
Eddison Tollett,Night's Watch,,1,0,1,1,1,1
Edmure Tully,House Tully,,1,1,1,1,1,1
Edric Dayne,None,,1,1,1,1,1,1
Edric Storm,House Baratheon,,1,0,1,1,1,1
Edwyn Frey,None,,1,1,1,1,1,1
Eggon,None,,1,0,1,1,1,1
Elder Brother,None,,1,0,1,1,1,1
Eldred Codd,Greyjoy,,1,1,1,1,1,1
Eleyna Westerling,Stark,,0,1,1,1,1,1
Elinor Tyrell,Tyrell,,0,1,1,1,1,1
Ellaria Sand,Martell,,0,1,1,1,1,1
Elmar Frey,None,,1,1,1,1,1,1
Elyas Willum,Baratheon,,1,1,1,1,1,1
Emmon Frey,Lannister,,1,1,1,1,1,1
Emmond,Greyjoy,,1,0,1,1,1,1
Emrick,Night's Watch,,1,0,1,1,1,1
Endehar,Greyjoy,,1,0,1,1,1,1
Enger,House Tully,,1,0,1,1,1,1
Erik Ironmaker,Greyjoy,,1,1,1,1,1,1
Ermesande Hayford,None,,0,1,1,1,1,1
Erreck,None,,1,0,1,1,1,1
Erryk (Guard),House Tyrell,,1,0,1,1,1,1
Esgred,Greyjoy,,1,0,1,1,1,1
Ezzara,Targaryen,,0,0,1,1,1,1
Falia Flowers,Greyjoy,,0,0,1,1,1,1
Fat Walda Frey,None,,0,1,1,1,1,1
Flement Brax,Lannister,,1,1,1,1,1,1
Forley Prester,Lannister,,1,1,1,1,1,1
Fornio,Night's Watch,,1,0,1,1,1,1
Frenken,Lannister,,1,0,1,1,1,1
Frynne,Martell,,0,0,1,1,1,1
Gage,House Stark,,1,1,1,1,1,1
Galazza Galare,None,,0,1,1,1,1,1
Galbart Glover,Stark,,1,1,1,1,1,1
Garin (Orphan),Martell,,1,0,1,1,1,1
Gariss,House Stark,,1,0,1,1,1,1
Garlan Tyrell,House Tyrell,,1,1,1,1,1,1
Garrett Paege,Lannister,,1,1,1,1,1,1
Gawen Westerling,Stark,,1,1,1,1,1,1
Gendry,None,,1,0,1,1,1,1
Genna Lannister,Lannister,,0,1,1,1,1,1
Gerald Gower,Baratheon,,1,1,1,1,1,1
Gerold Dayne,Martell,,1,1,1,1,1,1
Gerris Drinkwater,Martell,,1,1,1,1,1,1
Ghael,None,,1,0,1,1,1,1
Ghost of High Heart,None,,0,0,1,1,1,1
Gillam,None,,1,0,1,1,1,1
Gilly,Wildling,,0,0,1,1,1,1
Gilwood Hunter,Arryn,,1,1,1,1,1,1
Glendon Hewett,Night's Watch,,1,0,1,1,1,1
Goady,Night's Watch,,1,0,1,1,1,1
Godric Borrell,None,,1,1,1,1,1,1
Godry Farring,Baratheon,,1,1,1,1,1,1
Godwyn,House Lannister,,1,0,1,1,1,1
Goghor,None,,1,0,1,1,1,1
Gormond Goodbrother,Greyjoy,,1,1,1,1,1,1
Gorold Goodbrother,Greyjoy,,1,1,1,1,1,1
Gran Goodbrother,Greyjoy,,1,1,1,1,1,1
Grazdan mo Eraz,None,,1,1,1,1,1,1
Grazdan zo Galare,None,,1,1,1,1,1,1
Grazdar zo Galare,None,,1,1,1,1,1,1
Grenn,Night's Watch,,1,0,1,1,1,1
Grey Worm,Targaryen,,1,0,1,1,1,1
Greydon Goodbrother,Greyjoy,,1,1,1,1,1,1
Grigg,Wildling,,1,0,1,1,1,1
Grisel,None,,0,0,1,1,1,1
Grunt,None,,1,0,1,1,1,1
Gueren,Night's Watch,,1,0,1,1,1,1
Gwin Goodbrother,Greyjoy,,0,1,1,1,1,1
Gylbert Farwynd,Greyjoy,,1,1,1,1,1,1
Gyles Farwynd,Greyjoy,,1,1,1,1,1,1
Gyles Grafton,Arryn,,1,1,1,1,1,1
Gysella Goodbrother,Greyjoy,,0,1,1,1,1,1
Halder,Night's Watch,,1,0,1,1,1,1
Haldon,House Targaryen,,1,0,1,1,1,1
Hallis Mollen,Stark,,1,1,1,1,1,1
Hallyne,Lannister,,1,0,1,1,1,1
Hareth (Mole's Town),Night's Watch,,1,0,1,1,1,1
Harmund Sharp,Greyjoy,,1,1,1,1,1,1
Harmune,Night's Watch,,1,0,1,1,1,1
Harras Harlaw,Greyjoy,,1,1,1,1,1,1
Harrion Karstark,Stark,,1,1,1,1,1,1
Harry Strickland,None,,1,0,1,1,1,1
Harwin,Stark,,1,0,1,1,1,1
