"","Source","Target","Type","weight","book"
"85","Barristan-Selmy","Sandor-Clegane","Undirected",3,"1"
"86","Barristan-Selmy","Sansa-Stark","Undirected",3,"1"
"88","Benjen-Stark","Bran-Stark","Undirected",6,"1"
"89","Benjen-Stark","Cersei-Lannister","Undirected",3,"1"
"90","Benjen-Stark","Jaremy-Rykker","Undirected",3,"1"
"91","Benjen-Stark","Jeor-Mormont","Undirected",9,"1"
"92","Benjen-Stark","Jon-Snow","Undirected",41,"1"
"93","Benjen-Stark","Luwin","Undirected",7,"1"
"95","Benjen-Stark","Robb-Stark","Undirected",7,"1"
"96","Benjen-Stark","Robert-Baratheon","Undirected",3,"1"
"97","Benjen-Stark","Theon-Greyjoy","Undirected",4,"1"
"98","Benjen-Stark","Tyrion-Lannister","Undirected",8,"1"
"99","Benjen-Stark","Waymar-Royce","Undirected",3,"1"
"101","Beric-Dondarrion","Eddard-Stark","Undirected",3,"1"
"102","Beric-Dondarrion","Gregor-Clegane","Undirected",6,"1"
"103","Beric-Dondarrion","Loras-Tyrell","Undirected",5,"1"
"104","Beric-Dondarrion","Robert-Baratheon","Undirected",5,"1"
"105","Beric-Dondarrion","Sansa-Stark","Undirected",4,"1"
"107","Boros-Blount","Cersei-Lannister","Undirected",9,"1"
"108","Boros-Blount","Joffrey-Baratheon","Undirected",3,"1"
"109","Boros-Blount","Meryn-Trant","Undirected",5,"1"
"110","Boros-Blount","Sansa-Stark","Undirected",6,"1"
"111","Bowen-Marsh","Jeor-Mormont","Undirected",8,"1"
"112","Bowen-Marsh","Jon-Snow","Undirected",10,"1"
"114","Bran-Stark","Catelyn-Stark","Undirected",18,"1"
"115","Bran-Stark","Cersei-Lannister","Undirected",6,"1"
"116","Bran-Stark","Eddard-Stark","Undirected",19,"1"
"118","Bran-Stark","Hallis-Mollen","Undirected",3,"1"
"119","Bran-Stark","Hodor","Undirected",29,"1"
"120","Bran-Stark","Hullen","Undirected",3,"1"
"121","Bran-Stark","Jeor-Mormont","Undirected",4,"1"
"122","Bran-Stark","Joffrey-Baratheon","Undirected",3,"1"
"123","Bran-Stark","Jon-Arryn","Undirected",7,"1"
"124","Bran-Stark","Jon-Snow","Undirected",56,"1"
"125","Bran-Stark","Jory-Cassel","Undirected",11,"1"
"127","Bran-Stark","Luwin","Undirected",65,"1"
"130","Bran-Stark","Petyr-Baelish","Undirected",3,"1"
"131","Bran-Stark","Renly-Baratheon","Undirected",3,"1"
"132","Bran-Stark","Rickard-Karstark","Undirected",4,"1"
"134","Bran-Stark","Rickon-Stark","Undirected",32,"1"
"135","Bran-Stark","Robb-Stark","Undirected",112,"1"
"136","Bran-Stark","Robert-Baratheon","Undirected",11,"1"
"137","Bran-Stark","Rodrik-Cassel","Undirected",6,"1"
"138","Bran-Stark","Sansa-Stark","Undirected",10,"1"
"140","Bran-Stark","Theon-Greyjoy","Undirected",23,"1"
"142","Bran-Stark","Tyrion-Lannister","Undirected",31,"1"
"144","Brandon-Stark","Eddard-Stark","Undirected",11,"1"
"145","Brandon-Stark","Lyanna-Stark","Undirected",4,"1"
"146","Brandon-Stark","Petyr-Baelish","Undirected",14,"1"
"148","Brandon-Stark","Robert-Baratheon","Undirected",5,"1"
"149","Bronn","Catelyn-Stark","Undirected",6,"1"
"150","Bronn","Chiggen","Undirected",8,"1"
"151","Bronn","Marillion","Undirected",4,"1"
"152","Bronn","Rodrik-Cassel","Undirected",4,"1"
"153","Bronn","Shae","Undirected",3,"1"
"154","Bronn","Shagga","Undirected",3,"1"
"155","Bronn","Tyrion-Lannister","Undirected",61,"1"
"156","Bronn","Tywin-Lannister","Undirected",4,"1"
"159","Brynden-Tully","Catelyn-Stark","Undirected",16,"1"
"160","Brynden-Tully","Edmure-Tully","Undirected",3,"1"
"162","Brynden-Tully","Jaime-Lannister","Undirected",7,"1"
"163","Brynden-Tully","Lysa-Arryn","Undirected",10,"1"
"165","Brynden-Tully","Robb-Stark","Undirected",9,"1"
"166","Brynden-Tully","Theon-Greyjoy","Undirected",6,"1"
"167","Brynden-Tully","Tyrion-Lannister","Undirected",4,"1"
"168","Brynden-Tully","Tywin-Lannister","Undirected",3,"1"
"170","Catelyn-Stark","Cersei-Lannister","Undirected",12,"1"
"173","Catelyn-Stark","Eddard-Stark","Undirected",64,"1"
"174","Catelyn-Stark","Edmure-Tully","Undirected",7,"1"
"176","Catelyn-Stark","Hallis-Mollen","Undirected",10,"1"
"178","Catelyn-Stark","Jaime-Lannister","Undirected",9,"1"
"179","Catelyn-Stark","Joffrey-Baratheon","Undirected",4,"1"
"180","Catelyn-Stark","Jon-Arryn","Undirected",11,"1"
"181","Catelyn-Stark","Jon-Snow","Undirected",14,"1"
"182","Catelyn-Stark","Jon-Umber-(Greatjon)","Undirected",4,"1"
"183","Catelyn-Stark","Luwin","Undirected",14,"1"
"184","Catelyn-Stark","Lysa-Arryn","Undirected",33,"1"
"185","Catelyn-Stark","Marillion","Undirected",6,"1"
"191","Catelyn-Stark","Petyr-Baelish","Undirected",22,"1"
"192","Catelyn-Stark","Rickard-Karstark","Undirected",6,"1"
"193","Catelyn-Stark","Rickon-Stark","Undirected",3,"1"
"194","Catelyn-Stark","Robb-Stark","Undirected",49,"1"
"195","Catelyn-Stark","Robert-Arryn","Undirected",3,"1"
"196","Catelyn-Stark","Robert-Baratheon","Undirected",22,"1"
"197","Catelyn-Stark","Rodrik-Cassel","Undirected",25,"1"
"198","Catelyn-Stark","Sansa-Stark","Undirected",9,"1"
"200","Catelyn-Stark","Theon-Greyjoy","Undirected",9,"1"
"201","Catelyn-Stark","Tyrion-Lannister","Undirected",49,"1"
"203","Catelyn-Stark","Tywin-Lannister","Undirected",7,"1"
"209","Cayn","Eddard-Stark","Undirected",7,"1"
"210","Cayn","Renly-Baratheon","Undirected",3,"1"
"212","Cersei-Lannister","Eddard-Stark","Undirected",69,"1"
"213","Cersei-Lannister","Ilyn-Payne","Undirected",4,"1"
"214","Cersei-Lannister","Jaime-Lannister","Undirected",16,"1"
"215","Cersei-Lannister","Janos-Slynt","Undirected",4,"1"
"216","Cersei-Lannister","Joffrey-Baratheon","Undirected",42,"1"
"217","Cersei-Lannister","Jon-Arryn","Undirected",7,"1"
"218","Cersei-Lannister","Jon-Snow","Undirected",4,"1"
"219","Cersei-Lannister","Jory-Cassel","Undirected",5,"1"
"220","Cersei-Lannister","Meryn-Trant","Undirected",4,"1"
"221","Cersei-Lannister","Mordane","Undirected",3,"1"
"222","Cersei-Lannister","Myrcella-Baratheon","Undirected",7,"1"
"223","Cersei-Lannister","Petyr-Baelish","Undirected",13,"1"
"224","Cersei-Lannister","Pycelle","Undirected",9,"1"
"225","Cersei-Lannister","Renly-Baratheon","Undirected",5,"1"
"226","Cersei-Lannister","Robert-Baratheon","Undirected",72,"1"
"227","Cersei-Lannister","Sandor-Clegane","Undirected",5,"1"
"228","Cersei-Lannister","Sansa-Stark","Undirected",29,"1"
"229","Cersei-Lannister","Stannis-Baratheon","Undirected",5,"1"
"231","Cersei-Lannister","Tyrion-Lannister","Undirected",27,"1"
"232","Cersei-Lannister","Tywin-Lannister","Undirected",10,"1"
"236","Chett","Jon-Snow","Undirected",4,"1"
"238","Chiggen","Tyrion-Lannister","Undirected",5,"1"
"241","Cohollo","Daenerys-Targaryen","Undirected",7,"1"
"242","Cohollo","Drogo","Undirected",9,"1"
"243","Cohollo","Haggo","Undirected",7,"1"
"247","Conn","Shagga","Undirected",9,"1"
"248","Conn","Tyrion-Lannister","Undirected",6,"1"
"249","Daenerys-Targaryen","Doreah","Undirected",15,"1"
"250","Daenerys-Targaryen","Drogo","Undirected",101,"1"
"251","Daenerys-Targaryen","Eddard-Stark","Undirected",5,"1"
"253","Daenerys-Targaryen","Haggo","Undirected",12,"1"
"254","Daenerys-Targaryen","Illyrio-Mopatis","Undirected",24,"1"
"255","Daenerys-Targaryen","Irri","Undirected",25,"1"
"257","Daenerys-Targaryen","Jhogo","Undirected",17,"1"
"258","Daenerys-Targaryen","Jorah-Mormont","Undirected",75,"1"
"259","Daenerys-Targaryen","Mirri-Maz-Duur","Undirected",31,"1"
"263","Daenerys-Targaryen","Rhaegar-Targaryen","Undirected",4,"1"
"264","Daenerys-Targaryen","Robert-Baratheon","Undirected",11,"1"
"276","Doreah","Drogo","Undirected",5,"1"
"277","Doreah","Irri","Undirected",14,"1"
"279","Doreah","Jorah-Mormont","Undirected",3,"1"
"281","Drogo","Haggo","Undirected",9,"1"
"282","Drogo","Illyrio-Mopatis","Undirected",16,"1"
"283","Drogo","Irri","Undirected",9,"1"
"285","Drogo","Jhogo","Undirected",7,"1"
"287","Drogo","Jorah-Mormont","Undirected",16,"1"
"288","Drogo","Mirri-Maz-Duur","Undirected",12,"1"
"294","Drogo","Robert-Baratheon","Undirected",3,"1"
"297","Eddard-Stark","Edmure-Tully","Undirected",3,"1"
"298","Eddard-Stark","Galbart-Glover","Undirected",4,"1"
"301","Eddard-Stark","Gregor-Clegane","Undirected",10,"1"
"305","Eddard-Stark","Ilyn-Payne","Undirected",6,"1"
"307","Eddard-Stark","Jaime-Lannister","Undirected",27,"1"
"308","Eddard-Stark","Janos-Slynt","Undirected",4,"1"
"309","Eddard-Stark","Joffrey-Baratheon","Undirected",26,"1"
"310","Eddard-Stark","Jon-Arryn","Undirected",47,"1"
"311","Eddard-Stark","Jon-Snow","Undirected",38,"1"
"312","Eddard-Stark","Jory-Cassel","Undirected",32,"1"
"314","Eddard-Stark","Loras-Tyrell","Undirected",12,"1"
"315","Eddard-Stark","Luwin","Undirected",16,"1"
"316","Eddard-Stark","Lyanna-Stark","Undirected",19,"1"
"317","Eddard-Stark","Lysa-Arryn","Undirected",12,"1"
"319","Eddard-Stark","Mordane","Undirected",11,"1"
"320","Eddard-Stark","Mycah","Undirected",3,"1"
"321","Eddard-Stark","Petyr-Baelish","Undirected",81,"1"
"323","Eddard-Stark","Pycelle","Undirected",33,"1"
"324","Eddard-Stark","Raymun-Darry","Undirected",4,"1"
"325","Eddard-Stark","Renly-Baratheon","Undirected",33,"1"
"326","Eddard-Stark","Rhaegar-Targaryen","Undirected",10,"1"
"327","Eddard-Stark","Rickard-Karstark","Undirected",4,"1"
"328","Eddard-Stark","Rickon-Stark","Undirected",4,"1"
"329","Eddard-Stark","Robb-Stark","Undirected",16,"1"
"330","Eddard-Stark","Robert-Baratheon","Undirected",291,"1"
"331","Eddard-Stark","Rodrik-Cassel","Undirected",7,"1"
"332","Eddard-Stark","Sandor-Clegane","Undirected",10,"1"
"333","Eddard-Stark","Sansa-Stark","Undirected",34,"1"
"334","Eddard-Stark","Stannis-Baratheon","Undirected",18,"1"
"336","Eddard-Stark","Theon-Greyjoy","Undirected",5,"1"
"341","Eddard-Stark","Tyrion-Lannister","Undirected",21,"1"
"342","Eddard-Stark","Tywin-Lannister","Undirected",18,"1"
"349","Edmure-Tully","Jaime-Lannister","Undirected",4,"1"
"351","Edmure-Tully","Lysa-Arryn","Undirected",5,"1"
"353","Edmure-Tully","Petyr-Baelish","Undirected",4,"1"
"354","Edmure-Tully","Robb-Stark","Undirected",5,"1"
"359","Galbart-Glover","Jaime-Lannister","Undirected",3,"1"
"360","Galbart-Glover","Jon-Umber-(Greatjon)","Undirected",4,"1"
"361","Galbart-Glover","Rickard-Karstark","Undirected",4,"1"
"362","Galbart-Glover","Robb-Stark","Undirected",5,"1"
"364","Gared","Jeor-Mormont","Undirected",4,"1"
"365","Gared","Waymar-Royce","Undirected",13,"1"
"369","Gregor-Clegane","Jaime-Lannister","Undirected",3,"1"
"370","Gregor-Clegane","Loras-Tyrell","Undirected",10,"1"
"372","Gregor-Clegane","Petyr-Baelish","Undirected",3,"1"
"373","Gregor-Clegane","Pycelle","Undirected",3,"1"
"374","Gregor-Clegane","Robert-Baratheon","Undirected",4,"1"
"375","Gregor-Clegane","Sandor-Clegane","Undirected",11,"1"
"376","Gregor-Clegane","Sansa-Stark","Undirected",5,"1"
"377","Gregor-Clegane","Tyrion-Lannister","Undirected",7,"1"
"378","Gregor-Clegane","Tywin-Lannister","Undirected",6,"1"
"379","Grenn","Halder","Undirected",6,"1"
"380","Grenn","Jeor-Mormont","Undirected",3,"1"
"381","Grenn","Jon-Snow","Undirected",31,"1"
"382","Grenn","Pypar","Undirected",27,"1"
"386","Haggo","Mirri-Maz-Duur","Undirected",3,"1"
"389","Halder","Jon-Snow","Undirected",23,"1"
"390","Halder","Pypar","Undirected",8,"1"
"394","Hallis-Mollen","Luwin","Undirected",4,"1"
"395","Hallis-Mollen","Robb-Stark","Undirected",13,"1"
"396","Hallis-Mollen","Theon-Greyjoy","Undirected",7,"1"
"400","Heward","Jory-Cassel","Undirected",5,"1"
"404","Hodor","Luwin","Undirected",10,"1"
"406","Hodor","Robb-Stark","Undirected",5,"1"
"411","Hullen","Jory-Cassel","Undirected",5,"1"
"412","Hullen","Luwin","Undirected",3,"1"
"413","Hullen","Robb-Stark","Undirected",3,"1"
"414","Hullen","Rodrik-Cassel","Undirected",3,"1"
"415","Illyrio-Mopatis","Irri","Undirected",3,"1"
"416","Illyrio-Mopatis","Jorah-Mormont","Undirected",7,"1"
"417","Illyrio-Mopatis","Robert-Baratheon","Undirected",6,"1"
"419","Ilyn-Payne","Jeyne-Poole","Undirected",3,"1"
"420","Ilyn-Payne","Joffrey-Baratheon","Undirected",4,"1"
"421","Ilyn-Payne","Loras-Tyrell","Undirected",3,"1"
"422","Ilyn-Payne","Robert-Baratheon","Undirected",4,"1"
"423","Ilyn-Payne","Sansa-Stark","Undirected",9,"1"
"426","Irri","Jhogo","Undirected",7,"1"
"427","Irri","Jorah-Mormont","Undirected",4,"1"
"430","Jaime-Lannister","Joffrey-Baratheon","Undirected",12,"1"
"431","Jaime-Lannister","Jon-Arryn","Undirected",5,"1"
"432","Jaime-Lannister","Jory-Cassel","Undirected",4,"1"
"433","Jaime-Lannister","Kevan-Lannister","Undirected",4,"1"
"434","Jaime-Lannister","Loras-Tyrell","Undirected",3,"1"
"435","Jaime-Lannister","Lysa-Arryn","Undirected",6,"1"
"436","Jaime-Lannister","Petyr-Baelish","Undirected",7,"1"
"437","Jaime-Lannister","Renly-Baratheon","Undirected",4,"1"
"438","Jaime-Lannister","Rickard-Karstark","Undirected",3,"1"
"439","Jaime-Lannister","Robb-Stark","Undirected",9,"1"
"440","Jaime-Lannister","Robert-Baratheon","Undirected",24,"1"
"441","Jaime-Lannister","Rodrik-Cassel","Undirected",3,"1"
"442","Jaime-Lannister","Sandor-Clegane","Undirected",12,"1"
"443","Jaime-Lannister","Sansa-Stark","Undirected",3,"1"
"444","Jaime-Lannister","Tyrion-Lannister","Undirected",36,"1"
"445","Jaime-Lannister","Tywin-Lannister","Undirected",16,"1"
"448","Janos-Slynt","Joffrey-Baratheon","Undirected",4,"1"
"449","Janos-Slynt","Petyr-Baelish","Undirected",3,"1"
"450","Janos-Slynt","Pycelle","Undirected",3,"1"
"451","Janos-Slynt","Robert-Baratheon","Undirected",4,"1"
"452","Janos-Slynt","Sansa-Stark","Undirected",3,"1"
"453","Jaremy-Rykker","Jeor-Mormont","Undirected",11,"1"
"454","Jaremy-Rykker","Jon-Snow","Undirected",7,"1"
"455","Jeor-Mormont","Jon-Snow","Undirected",81,"1"
"456","Jeor-Mormont","Robert-Baratheon","Undirected",4,"1"
"458","Jeor-Mormont","Tyrion-Lannister","Undirected",23,"1"
"460","Jeyne-Poole","Loras-Tyrell","Undirected",4,"1"
"461","Jeyne-Poole","Mordane","Undirected",7,"1"
"462","Jeyne-Poole","Robert-Baratheon","Undirected",3,"1"
"463","Jeyne-Poole","Sansa-Stark","Undirected",27,"1"
"465","Jhogo","Jorah-Mormont","Undirected",5,"1"
"466","Jhogo","Mirri-Maz-Duur","Undirected",3,"1"
"467","Joffrey-Baratheon","Jon-Snow","Undirected",10,"1"
"468","Joffrey-Baratheon","Loras-Tyrell","Undirected",3,"1"
"469","Joffrey-Baratheon","Meryn-Trant","Undirected",3,"1"
"470","Joffrey-Baratheon","Mordane","Undirected",9,"1"
"471","Joffrey-Baratheon","Mycah","Undirected",14,"1"
"472","Joffrey-Baratheon","Myrcella-Baratheon","Undirected",5,"1"
"473","Joffrey-Baratheon","Petyr-Baelish","Undirected",11,"1"
"474","Joffrey-Baratheon","Pycelle","Undirected",4,"1"
"475","Joffrey-Baratheon","Renly-Baratheon","Undirected",9,"1"
"476","Joffrey-Baratheon","Robb-Stark","Undirected",19,"1"
"477","Joffrey-Baratheon","Robert-Baratheon","Undirected",30,"1"
"478","Joffrey-Baratheon","Rodrik-Cassel","Undirected",9,"1"
"479","Joffrey-Baratheon","Sandor-Clegane","Undirected",24,"1"
"480","Joffrey-Baratheon","Sansa-Stark","Undirected",87,"1"
"481","Joffrey-Baratheon","Stannis-Baratheon","Undirected",7,"1"
"483","Joffrey-Baratheon","Tyrion-Lannister","Undirected",13,"1"
"484","Joffrey-Baratheon","Tywin-Lannister","Undirected",3,"1"
"487","Jon-Arryn","Lysa-Arryn","Undirected",12,"1"
"488","Jon-Arryn","Petyr-Baelish","Undirected",4,"1"
"489","Jon-Arryn","Pycelle","Undirected",11,"1"
"490","Jon-Arryn","Robert-Baratheon","Undirected",32,"1"
"491","Jon-Arryn","Stannis-Baratheon","Undirected",13,"1"
"492","Jon-Arryn","Tyrion-Lannister","Undirected",5,"1"
"494","Jon-Snow","Jory-Cassel","Undirected",3,"1"
"495","Jon-Snow","Luwin","Undirected",10,"1"
"497","Jon-Snow","Mordane","Undirected",4,"1"
"499","Jon-Snow","Pypar","Undirected",45,"1"
"501","Jon-Snow","Rickon-Stark","Undirected",11,"1"
"502","Jon-Snow","Robb-Stark","Undirected",53,"1"
"503","Jon-Snow","Robert-Baratheon","Undirected",18,"1"
"504","Jon-Snow","Rodrik-Cassel","Undirected",3,"1"
"506","Jon-Snow","Sansa-Stark","Undirected",8,"1"
"507","Jon-Snow","Theon-Greyjoy","Undirected",8,"1"
"509","Jon-Snow","Tyrion-Lannister","Undirected",56,"1"
"512","Jon-Umber-(Greatjon)","Rickard-Karstark","Undirected",7,"1"
"513","Jon-Umber-(Greatjon)","Robb-Stark","Undirected",8,"1"
"515","Jon-Umber-(Greatjon)","Theon-Greyjoy","Undirected",5,"1"
"516","Jon-Umber-(Greatjon)","Tywin-Lannister","Undirected",3,"1"
"518","Jorah-Mormont","Mirri-Maz-Duur","Undirected",5,"1"
"520","Jorah-Mormont","Rhaegar-Targaryen","Undirected",5,"1"
"521","Jorah-Mormont","Robert-Baratheon","Undirected",3,"1"
"523","Jory-Cassel","Mordane","Undirected",3,"1"
"524","Jory-Cassel","Petyr-Baelish","Undirected",8,"1"
"525","Jory-Cassel","Robb-Stark","Undirected",9,"1"
"526","Jory-Cassel","Robert-Baratheon","Undirected",7,"1"
"527","Jory-Cassel","Rodrik-Cassel","Undirected",5,"1"
"528","Jory-Cassel","Sansa-Stark","Undirected",9,"1"
"529","Jory-Cassel","Stannis-Baratheon","Undirected",3,"1"
"530","Jory-Cassel","Theon-Greyjoy","Undirected",3,"1"
"536","Jyck","Tyrion-Lannister","Undirected",6,"1"
"538","Kevan-Lannister","Tyrion-Lannister","Undirected",15,"1"
"539","Kevan-Lannister","Tywin-Lannister","Undirected",9,"1"
"544","Loras-Tyrell","Petyr-Baelish","Undirected",5,"1"
"545","Loras-Tyrell","Renly-Baratheon","Undirected",5,"1"
"546","Loras-Tyrell","Robert-Baratheon","Undirected",4,"1"
"547","Loras-Tyrell","Rodrik-Cassel","Undirected",3,"1"
"548","Loras-Tyrell","Sandor-Clegane","Undirected",4,"1"
"549","Loras-Tyrell","Sansa-Stark","Undirected",14,"1"
"552","Luwin","Rickard-Karstark","Undirected",3,"1"
"553","Luwin","Rickon-Stark","Undirected",9,"1"
"554","Luwin","Robb-Stark","Undirected",20,"1"
"555","Luwin","Rodrik-Cassel","Undirected",3,"1"
"556","Luwin","Theon-Greyjoy","Undirected",10,"1"
"558","Luwin","Tyrion-Lannister","Undirected",10,"1"
"559","Lyanna-Stark","Robert-Baratheon","Undirected",9,"1"
"560","Lyanna-Stark","Sansa-Stark","Undirected",4,"1"
"562","Lysa-Arryn","Petyr-Baelish","Undirected",4,"1"
"563","Lysa-Arryn","Robert-Arryn","Undirected",8,"1"
"564","Lysa-Arryn","Robert-Baratheon","Undirected",5,"1"
"565","Lysa-Arryn","Stannis-Baratheon","Undirected",4,"1"
"566","Lysa-Arryn","Tyrion-Lannister","Undirected",25,"1"
"571","Marillion","Rodrik-Cassel","Undirected",5,"1"
"572","Marillion","Tyrion-Lannister","Undirected",10,"1"
"575","Meryn-Trant","Robert-Baratheon","Undirected",3,"1"
"576","Meryn-Trant","Sandor-Clegane","Undirected",4,"1"
"577","Meryn-Trant","Sansa-Stark","Undirected",5,"1"
"580","Mord","Tyrion-Lannister","Undirected",20,"1"
"581","Mordane","Myrcella-Baratheon","Undirected",12,"1"
"582","Mordane","Petyr-Baelish","Undirected",3,"1"
"583","Mordane","Robert-Baratheon","Undirected",7,"1"
"584","Mordane","Sansa-Stark","Undirected",43,"1"
"586","Mycah","Sandor-Clegane","Undirected",5,"1"
"587","Mycah","Sansa-Stark","Undirected",10,"1"
"588","Myrcella-Baratheon","Robert-Baratheon","Undirected",3,"1"
"589","Myrcella-Baratheon","Sansa-Stark","Undirected",8,"1"
"593","Petyr-Baelish","Pycelle","Undirected",14,"1"
"594","Petyr-Baelish","Renly-Baratheon","Undirected",12,"1"
"595","Petyr-Baelish","Robert-Baratheon","Undirected",30,"1"
"596","Petyr-Baelish","Rodrik-Cassel","Undirected",7,"1"
"597","Petyr-Baelish","Sandor-Clegane","Undirected",3,"1"
"598","Petyr-Baelish","Sansa-Stark","Undirected",8,"1"
"600","Petyr-Baelish","Tyrion-Lannister","Undirected",11,"1"
"602","Pycelle","Renly-Baratheon","Undirected",7,"1"
"603","Pycelle","Robert-Baratheon","Undirected",26,"1"
"604","Pycelle","Sansa-Stark","Undirected",8,"1"
"605","Pycelle","Stannis-Baratheon","Undirected",3,"1"
"606","Pycelle","Tywin-Lannister","Undirected",4,"1"
"615","Raymun-Darry","Robert-Baratheon","Undirected",8,"1"
"616","Renly-Baratheon","Robb-Stark","Undirected",3,"1"
"617","Renly-Baratheon","Robert-Baratheon","Undirected",42,"1"
"618","Renly-Baratheon","Sandor-Clegane","Undirected",7,"1"
"619","Renly-Baratheon","Sansa-Stark","Undirected",5,"1"
"620","Renly-Baratheon","Stannis-Baratheon","Undirected",19,"1"
"621","Renly-Baratheon","Tyrion-Lannister","Undirected",4,"1"
"623","Rhaegar-Targaryen","Robert-Baratheon","Undirected",22,"1"
"624","Rhaegar-Targaryen","Sansa-Stark","Undirected",3,"1"
"625","Rhaegar-Targaryen","Tywin-Lannister","Undirected",4,"1"
"627","Rickard-Karstark","Robb-Stark","Undirected",9,"1"
"629","Rickon-Stark","Robb-Stark","Undirected",20,"1"
"630","Rickon-Stark","Sansa-Stark","Undirected",8,"1"
"631","Rickon-Stark","Tyrion-Lannister","Undirected",4,"1"
"632","Robb-Stark","Robert-Baratheon","Undirected",6,"1"
"633","Robb-Stark","Rodrik-Cassel","Undirected",15,"1"
"636","Robb-Stark","Sansa-Stark","Undirected",13,"1"
"638","Robb-Stark","Theon-Greyjoy","Undirected",37,"1"
"640","Robb-Stark","Tyrion-Lannister","Undirected",11,"1"
"641","Robb-Stark","Tywin-Lannister","Undirected",9,"1"
"645","Robert-Arryn","Tyrion-Lannister","Undirected",9,"1"
"646","Robert-Baratheon","Sandor-Clegane","Undirected",9,"1"
"647","Robert-Baratheon","Sansa-Stark","Undirected",26,"1"
"648","Robert-Baratheon","Stannis-Baratheon","Undirected",21,"1"
