Source,Target,Type,id,weight,book
Aegon-Targaryen-(son-of-Rhaegar),Tyrion-Lannister,Undirected,35,23,all
Aegon-Targaryen-(son-of-Rhaegar),Tywin-Lannister,Undirected,36,3,all
Aegon-Targaryen-(son-of-Rhaegar),Viserys-Targaryen,Undirected,37,3,all
Aegon-Targaryen-(son-of-Rhaegar),Yandry,Undirected,38,6,all
Aegon-Targaryen-(son-of-Rhaegar),Ysilla,Undirected,39,4,all
Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),Undirected,40,6,all
Aemon-Targaryen-(Dragonknight),Jaime-Lannister,Undirected,41,3,all
Aemon-Targaryen-(Maester-Aemon),Alleras,Undirected,42,4,all
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,43,7,all
Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,Undirected,44,4,all
Aemon-Targaryen-(Maester-Aemon),Chett,Undirected,45,9,all
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,46,33,all
Aemon-Targaryen-(Maester-Aemon),Cotter-Pyke,Undirected,47,3,all
Aemon-Targaryen-(Maester-Aemon),Daeron-II-Targaryen,Undirected,48,3,all
Aemon-Targaryen-(Maester-Aemon),Dareon,Undirected,49,5,all
Aemon-Targaryen-(Maester-Aemon),Denys-Mallister,Undirected,50,4,all
Aemon-Targaryen-(Maester-Aemon),Donal-Noye,Undirected,51,11,all
Aemon-Targaryen-(Maester-Aemon),Eddison-Tollett,Undirected,52,3,all
Aemon-Targaryen-(Maester-Aemon),Gilly,Undirected,53,20,all
Aemon-Targaryen-(Maester-Aemon),Grenn,Undirected,54,5,all
Aemon-Targaryen-(Maester-Aemon),Hobb,Undirected,55,3,all
Aemon-Targaryen-(Maester-Aemon),Janos-Slynt,Undirected,56,5,all
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,57,25,all
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,58,110,all
Aemon-Targaryen-(Maester-Aemon),Maekar-I-Targaryen,Undirected,59,3,all
Aemon-Targaryen-(Maester-Aemon),Mance-Rayder,Undirected,60,5,all
Aemon-Targaryen-(Maester-Aemon),Owen,Undirected,61,3,all
Aemon-Targaryen-(Maester-Aemon),Pypar,Undirected,62,5,all
Aemon-Targaryen-(Maester-Aemon),Robert-Baratheon,Undirected,63,5,all
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,64,99,all
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,Undirected,65,12,all
Aemon-Targaryen-(Maester-Aemon),Wynton-Stout,Undirected,66,3,all
Aenys-Frey,Arya-Stark,Undirected,67,6,all
Aenys-Frey,Hosteen-Frey,Undirected,68,6,all
Aenys-Frey,Theon-Greyjoy,Undirected,69,3,all
Aenys-Frey,Wyman-Manderly,Undirected,70,4,all
Aeron-Greyjoy,Asha-Greyjoy,Undirected,71,7,all
Aeron-Greyjoy,Baelor-Blacktyde,Undirected,72,4,all
Aeron-Greyjoy,Balon-Greyjoy,Undirected,73,17,all
Aeron-Greyjoy,Dagmer,Undirected,74,5,all
Aeron-Greyjoy,Dunstan-Drumm,Undirected,75,4,all
Aeron-Greyjoy,Emmond,Undirected,76,4,all
Aeron-Greyjoy,Euron-Greyjoy,Undirected,77,27,all
Aeron-Greyjoy,Gormond-Goodbrother,Undirected,78,6,all
Aeron-Greyjoy,Gorold-Goodbrother,Undirected,79,10,all
Aeron-Greyjoy,Greydon-Goodbrother,Undirected,80,4,all
Aeron-Greyjoy,Meldred-Merlyn,Undirected,81,7,all
Aeron-Greyjoy,Murenmure,Undirected,82,11,all
Aeron-Greyjoy,Rus,Undirected,83,5,all
Aeron-Greyjoy,Theon-Greyjoy,Undirected,84,20,all
Aeron-Greyjoy,Victarion-Greyjoy,Undirected,85,20,all
Aerys-I-Targaryen,Robert-Baratheon,Undirected,86,3,all
Aerys-II-Targaryen,Arthur-Dayne,Undirected,87,5,all
Aerys-II-Targaryen,Barristan-Selmy,Undirected,88,4,all
Aerys-II-Targaryen,Brandon-Stark,Undirected,89,4,all
Aerys-II-Targaryen,Brienne-of-Tarth,Undirected,90,3,all
Aerys-II-Targaryen,Cersei-Lannister,Undirected,91,3,all
Aerys-II-Targaryen,Denys-Darklyn,Undirected,92,4,all
Aerys-II-Targaryen,Eddard-Stark,Undirected,93,15,all
Aerys-II-Targaryen,Elbert-Arryn,Undirected,94,3,all
Aerys-II-Targaryen,Gerold-Hightower,Undirected,95,3,all
Aerys-II-Targaryen,Jaime-Lannister,Undirected,96,37,all
Aerys-II-Targaryen,Joffrey-Baratheon,Undirected,97,6,all
Aerys-II-Targaryen,Jon-Arryn,Undirected,98,3,all
Aerys-II-Targaryen,Owen-Merryweather,Undirected,99,3,all
Aerys-II-Targaryen,Rhaegar-Targaryen,Undirected,100,14,all
Aerys-II-Targaryen,Robert-Baratheon,Undirected,101,35,all
Aerys-II-Targaryen,Rossart,Undirected,102,4,all
Aerys-II-Targaryen,Tyrion-Lannister,Undirected,103,9,all
Aerys-II-Targaryen,Tywin-Lannister,Undirected,104,26,all
Aerys-II-Targaryen,Viserys-Targaryen,Undirected,105,3,all
Aggar,Gariss,Undirected,106,3,all
Aggar,Gelmarr,Undirected,107,3,all
Aggar,Gynir,Undirected,108,3,all
Aggar,Ramsay-Snow,Undirected,109,4,all
Aggo,Barristan-Selmy,Undirected,110,3,all
Aggo,Belwas,Undirected,111,3,all
Aggo,Daario-Naharis,Undirected,112,4,all
Aggo,Daenerys-Targaryen,Undirected,113,30,all
Aggo,Drogo,Undirected,114,6,all
Aggo,Grey-Worm,Undirected,115,5,all
Aggo,Jhogo,Undirected,116,26,all
Aggo,Jorah-Mormont,Undirected,117,9,all
Aggo,Quaro,Undirected,118,3,all
Aggo,Rakharo,Undirected,119,23,all
Alayaya,Bronn,Undirected,120,3,all
Alayaya,Cersei-Lannister,Undirected,121,3,all
Alayaya,Dancy,Undirected,122,3,all
Alayaya,Tyrion-Lannister,Undirected,123,7,all
Albett,Halder,Undirected,124,3,all
Albett,Jon-Snow,Undirected,125,5,all
Albett,Rast,Undirected,126,3,all
Alebelly,Bran-Stark,Undirected,127,7,all
Alebelly,Hayhead,Undirected,128,3,all
Alebelly,Jojen-Reed,Undirected,129,6,all
Alebelly,Mikken,Undirected,130,3,all
Alerie-Hightower,Mace-Tyrell,Undirected,131,3,all
Alerie-Hightower,Margaery-Tyrell,Undirected,132,3,all
Alester-Florent,Axell-Florent,Undirected,133,4,all
Alester-Florent,Cortnay-Penrose,Undirected,134,4,all
Alester-Florent,Davos-Seaworth,Undirected,135,14,all
Alester-Florent,Lamprey,Undirected,136,3,all
Alester-Florent,Renly-Baratheon,Undirected,137,3,all
Alester-Florent,Selyse-Florent,Undirected,138,4,all
Alester-Florent,Stannis-Baratheon,Undirected,139,9,all
Alla-Tyrell,Elinor-Tyrell,Undirected,140,13,all
Alla-Tyrell,Margaery-Tyrell,Undirected,141,7,all
Alla-Tyrell,Megga-Tyrell,Undirected,142,16,all
Alla-Tyrell,Osney-Kettleblack,Undirected,143,3,all
Alla-Tyrell,Sansa-Stark,Undirected,144,4,all
Allar-Deem,Janos-Slynt,Undirected,145,3,all
Allar-Deem,Tyrion-Lannister,Undirected,146,4,all
Allard-Seaworth,Davos-Seaworth,Undirected,147,5,all
Allard-Seaworth,Marya-Seaworth,Undirected,148,5,all
Allard-Seaworth,Stannis-Baratheon,Undirected,149,3,all
Alleras,Armen,Undirected,150,5,all
Alleras,Leo-Tyrell,Undirected,151,7,all
Alleras,Marwyn,Undirected,152,3,all
Alleras,Mollander,Undirected,153,7,all
Alleras,Pate-(novice),Undirected,154,8,all
Alleras,Roone,Undirected,155,6,all
Alleras,Samwell-Tarly,Undirected,156,8,all
Alliser-Thorne,Bowen-Marsh,Undirected,157,3,all
Alliser-Thorne,Grenn,Undirected,158,3,all
Alliser-Thorne,Halder,Undirected,159,4,all
Alliser-Thorne,Janos-Slynt,Undirected,160,13,all
Alliser-Thorne,Jeor-Mormont,Undirected,161,13,all
Alliser-Thorne,Joffrey-Baratheon,Undirected,162,4,all
Alliser-Thorne,Jon-Snow,Undirected,163,63,all
Alliser-Thorne,Mance-Rayder,Undirected,164,6,all
Alliser-Thorne,Pypar,Undirected,165,4,all
Alliser-Thorne,Qhorin-Halfhand,Undirected,166,4,all
Alliser-Thorne,Rast,Undirected,167,5,all
Alliser-Thorne,Samwell-Tarly,Undirected,168,12,all
Alliser-Thorne,Stannis-Baratheon,Undirected,169,3,all
Alliser-Thorne,Tyrion-Lannister,Undirected,170,15,all
Alyn,Eddard-Stark,Undirected,171,11,all
Alyn,Harwin,Undirected,172,6,all
Alyn,Jory-Cassel,Undirected,173,8,all
Alyn,Robert-Baratheon,Undirected,174,4,all
Alyn,Tomard,Undirected,175,3,all
Alys-Arryn,Elys-Waynwood,Undirected,176,4,all
Alys-Arryn,Jon-Arryn,Undirected,177,3,all
Alys-Karstark,Jon-Snow,Undirected,178,13,all
Alys-Karstark,Melisandre,Undirected,179,6,all
Alys-Karstark,Sigorn,Undirected,180,5,all
Alysane-Mormont,Asha-Greyjoy,Undirected,181,18,all
Alysane-Mormont,Justin-Massey,Undirected,182,5,all
Alysane-Mormont,Stannis-Baratheon,Undirected,183,5,all
Amabel,Arya-Stark,Undirected,184,6,all
Amabel,Harra,Undirected,185,4,all
Amerei-Frey,Jaime-Lannister,Undirected,186,6,all
Amerei-Frey,Lancel-Lannister,Undirected,187,10,all
Amerei-Frey,Lyle-Crakehall,Undirected,188,4,all
Amory-Lorch,Arya-Stark,Undirected,189,9,all
Amory-Lorch,Cersei-Lannister,Undirected,190,4,all
Amory-Lorch,Chiswyck,Undirected,191,4,all
Amory-Lorch,Dunsen,Undirected,192,3,all
Amory-Lorch,Gendry,Undirected,193,3,all
Amory-Lorch,Gregor-Clegane,Undirected,194,10,all
Amory-Lorch,Hot-Pie,Undirected,195,3,all
Amory-Lorch,Ilyn-Payne,Undirected,196,4,all
Amory-Lorch,Jaime-Lannister,Undirected,197,3,all
Amory-Lorch,Joffrey-Baratheon,Undirected,198,7,all
Amory-Lorch,Meryn-Trant,Undirected,199,5,all
Amory-Lorch,Oberyn-Martell,Undirected,200,6,all
Amory-Lorch,Polliver,Undirected,201,3,all
Amory-Lorch,Rafford,Undirected,202,5,all
Amory-Lorch,Roose-Bolton,Undirected,203,3,all
Amory-Lorch,Sandor-Clegane,Undirected,204,5,all
Amory-Lorch,Tickler,Undirected,205,5,all
Amory-Lorch,Tywin-Lannister,Undirected,206,8,all
Amory-Lorch,Vargo-Hoat,Undirected,207,10,all
Amory-Lorch,Yoren,Undirected,208,5,all
Anders-Yronwood,Oberyn-Martell,Undirected,209,3,all
Anders-Yronwood,Quentyn-Martell,Undirected,210,4,all
Andrew-Estermont,Davos-Seaworth,Undirected,211,4,all
Andrew-Estermont,Edric-Storm,Undirected,212,4,all
Andrew-Estermont,Gerald-Gower,Undirected,213,3,all
Andrey-Dalt,Arianne-Martell,Undirected,214,10,all
Andrey-Dalt,Garin-(orphan),Undirected,215,11,all
Andrey-Dalt,Myrcella-Baratheon,Undirected,216,4,all
Andrey-Dalt,Sylva-Santagar,Undirected,217,8,all
Andrey-Dalt,Tyene-Sand,Undirected,218,4,all
Anguy,Arya-Stark,Undirected,219,15,all
Anguy,Beric-Dondarrion,Undirected,220,4,all
Anguy,Greenbeard,Undirected,221,9,all
Anguy,Harwin,Undirected,222,7,all
Anguy,Husband,Undirected,223,3,all
Anguy,Lem,Undirected,224,22,all
Anguy,Sandor-Clegane,Undirected,225,3,all
Anguy,Sharna,Undirected,226,6,all
Anguy,Tom-of-Sevenstreams,Undirected,227,12,all
Anya-Waynwood,Benedar-Belmore,Undirected,228,4,all
Anya-Waynwood,Gilwood-Hunter,Undirected,229,6,all
Anya-Waynwood,Harrold-Hardyng,Undirected,230,6,all
Anya-Waynwood,Horton-Redfort,Undirected,231,7,all
Anya-Waynwood,Petyr-Baelish,Undirected,232,10,all
Anya-Waynwood,Symond-Templeton,Undirected,233,6,all
Anya-Waynwood,Yohn-Royce,Undirected,234,5,all
Archibald-Yronwood,Cletus-Yronwood,Undirected,235,5,all
Archibald-Yronwood,Gerris-Drinkwater,Undirected,236,13,all
Archibald-Yronwood,Quentyn-Martell,Undirected,237,21,all
Archibald-Yronwood,Tattered-Prince,Undirected,238,4,all
Ardrian-Celtigar,Monford-Velaryon,Undirected,239,5,all
Areo-Hotah,Arianne-Martell,Undirected,240,28,all
Areo-Hotah,Arys-Oakheart,Undirected,241,11,all
Areo-Hotah,Balon-Swann,Undirected,242,4,all
Areo-Hotah,Caleotte,Undirected,243,7,all
Areo-Hotah,Doran-Martell,Undirected,244,44,all
Areo-Hotah,Ellaria-Sand,Undirected,245,3,all
Areo-Hotah,Myrcella-Baratheon,Undirected,246,5,all
Areo-Hotah,Obara-Sand,Undirected,247,13,all
Areo-Hotah,Oberyn-Martell,Undirected,248,3,all
Arianne-Martell,Arys-Oakheart,Undirected,249,19,all
Arianne-Martell,Balon-Swann,Undirected,250,5,all
Arianne-Martell,Cedra,Undirected,251,8,all
Arianne-Martell,Doran-Martell,Undirected,252,26,all
Arianne-Martell,Ellaria-Sand,Undirected,253,3,all
Arianne-Martell,Franklyn-Fowler,Undirected,254,3,all
Arianne-Martell,Garin-(orphan),Undirected,255,18,all
Arianne-Martell,Gerold-Dayne,Undirected,256,11,all
Arianne-Martell,Mellei,Undirected,257,3,all
Arianne-Martell,Morra,Undirected,258,3,all
Arianne-Martell,Myrcella-Baratheon,Undirected,259,16,all
Arianne-Martell,Obara-Sand,Undirected,260,5,all
Arianne-Martell,Oberyn-Martell,Undirected,261,3,all
Arianne-Martell,Quentyn-Martell,Undirected,262,8,all
Arianne-Martell,Ricasso,Undirected,263,3,all
Arianne-Martell,Sylva-Santagar,Undirected,264,10,all
Arianne-Martell,Timoth,Undirected,265,3,all
Arianne-Martell,Tyene-Sand,Undirected,266,4,all
Armen,Leo-Tyrell,Undirected,267,3,all
Armen,Marwyn,Undirected,268,3,all
Armen,Mollander,Undirected,269,3,all
Armen,Pate-(novice),Undirected,270,5,all
Armen,Roone,Undirected,271,4,all
Arnolf-Karstark,Arthor-Karstark,Undirected,272,3,all
Arnolf-Karstark,Asha-Greyjoy,Undirected,273,3,all
Arnolf-Karstark,Mors-Umber,Undirected,274,4,all
Arnolf-Karstark,Rickard-Karstark,Undirected,275,3,all
Arnolf-Karstark,Stannis-Baratheon,Undirected,276,7,all
Aron-Santagar,Sandor-Clegane,Undirected,277,3,all
Arron,Emrick,Undirected,278,6,all
Arron,Hareth-(Moles-Town),Undirected,279,4,all
Arron,Satin,Undirected,280,4,all
Arson,Jon-Snow,Undirected,281,3,all
Arstan,Belwas,Undirected,282,25,all
Arstan,Daenerys-Targaryen,Undirected,283,29,all
Arstan,Illyrio-Mopatis,Undirected,284,3,all
Arstan,Jhiqui,Undirected,285,3,all
Arstan,Jorah-Mormont,Undirected,286,13,all
Arstan,Kraznys-mo-Nakloz,Undirected,287,3,all
Arstan,Mero,Undirected,288,7,all
Arstan,Rhaegar-Targaryen,Undirected,289,7,all
Arthur-Dayne,Gerold-Hightower,Undirected,290,9,all
Arthur-Dayne,Lewyn-Martell,Undirected,291,3,all
Arthur-Dayne,Rhaegar-Targaryen,Undirected,292,3,all
Arthur-Dayne,Smiling-Knight,Undirected,293,4,all
Arwyn-Oakheart,Randyll-Tarly,Undirected,294,3,all
Arya-Stark,Bellegere-Otherys,Undirected,295,3,all
Arya-Stark,Benjen-Stark,Undirected,296,3,all
Arya-Stark,Beric-Dondarrion,Undirected,297,28,all
Arya-Stark,Biter,Undirected,298,10,all
Arya-Stark,Bran-Stark,Undirected,299,40,all
Arya-Stark,Brea,Undirected,300,5,all
Arya-Stark,Brusco,Undirected,301,10,all
Arya-Stark,Brynden-Tully,Undirected,302,4,all
Arya-Stark,Catelyn-Stark,Undirected,303,8,all
Arya-Stark,Cersei-Lannister,Undirected,304,25,all
Arya-Stark,Chiswyck,Undirected,305,8,all
Arya-Stark,Dareon,Undirected,306,5,all
Arya-Stark,Denyo-Terys,Undirected,307,8,all
Arya-Stark,Desmond,Undirected,308,3,all
Arya-Stark,Dobber,Undirected,309,4,all
Arya-Stark,Dunsen,Undirected,310,6,all
Arya-Stark,Eddard-Stark,Undirected,311,46,all
Arya-Stark,Elmar-Frey,Undirected,312,4,all
Arya-Stark,Gendry,Undirected,313,82,all
Arya-Stark,Greenbeard,Undirected,314,9,all
Arya-Stark,Gregor-Clegane,Undirected,315,10,all
Arya-Stark,Harra,Undirected,316,3,all
Arya-Stark,Harren-Hoare,Undirected,317,7,all
Arya-Stark,Harwin,Undirected,318,17,all
Arya-Stark,Hot-Pie,Undirected,319,76,all
Arya-Stark,Ilyn-Payne,Undirected,320,8,all
Arya-Stark,Jaime-Lannister,Undirected,321,13,all
Arya-Stark,Jaqen-Hghar,Undirected,322,25,all
Arya-Stark,Jeyne-Poole,Undirected,323,14,all
Arya-Stark,Joffrey-Baratheon,Undirected,324,53,all
Arya-Stark,Jon-Snow,Undirected,325,71,all
Arya-Stark,Jory-Cassel,Undirected,326,12,all
Arya-Stark,Kindly-Man,Undirected,327,17,all
Arya-Stark,Koss,Undirected,328,3,all
Arya-Stark,Lem,Undirected,329,24,all
Arya-Stark,Lommy-Greenhands,Undirected,330,31,all
Arya-Stark,Mad-Huntsman,Undirected,331,4,all
Arya-Stark,Mance-Rayder,Undirected,332,3,all
Arya-Stark,Melisandre,Undirected,333,4,all
Arya-Stark,Meralyn,Undirected,334,9,all
Arya-Stark,Meryn-Trant,Undirected,335,7,all
Arya-Stark,Mordane,Undirected,336,39,all
Arya-Stark,Mycah,Undirected,337,24,all
Arya-Stark,Myrcella-Baratheon,Undirected,338,13,all
Arya-Stark,Nan,Undirected,339,17,all
Arya-Stark,Pate-(Old),Undirected,340,4,all
Arya-Stark,Petyr-Baelish,Undirected,341,3,all
Arya-Stark,Polliver,Undirected,342,14,all
Arya-Stark,Praed,Undirected,343,3,all
Arya-Stark,Rafford,Undirected,344,10,all
Arya-Stark,Ramsay-Snow,Undirected,345,5,all
Arya-Stark,Ravella-Swann,Undirected,346,7,all
Arya-Stark,Rickon-Stark,Undirected,347,20,all
Arya-Stark,Robb-Stark,Undirected,348,44,all
Arya-Stark,Robert-Baratheon,Undirected,349,17,all
Arya-Stark,Rodrik-Cassel,Undirected,350,3,all
Arya-Stark,Roose-Bolton,Undirected,351,21,all
Arya-Stark,Rorge,Undirected,352,13,all
Arya-Stark,Sandor-Clegane,Undirected,353,58,all
Arya-Stark,Sansa-Stark,Undirected,354,155,all
Arya-Stark,Syrio-Forel,Undirected,355,29,all
Arya-Stark,Talea,Undirected,356,4,all
Arya-Stark,Ternesio-Terys,Undirected,357,5,all
Arya-Stark,Theon-Greyjoy,Undirected,358,7,all
Arya-Stark,Thoros-of-Myr,Undirected,359,21,all
Arya-Stark,Tickler,Undirected,360,5,all
Arya-Stark,Tom-of-Sevenstreams,Undirected,361,24,all
Arya-Stark,Tomard,Undirected,362,6,all
Arya-Stark,Tommen-Baratheon,Undirected,363,5,all
Arya-Stark,Tyrion-Lannister,Undirected,364,11,all
Arya-Stark,Tywin-Lannister,Undirected,365,13,all
Arya-Stark,Umma,Undirected,366,6,all
Arya-Stark,Vargo-Hoat,Undirected,367,6,all
Arya-Stark,Vayon-Poole,Undirected,368,4,all
Arya-Stark,Waif,Undirected,369,20,all
Arya-Stark,Weasel,Undirected,370,10,all
Arya-Stark,Weese,Undirected,371,15,all
Arya-Stark,Woth,Undirected,372,3,all
Arya-Stark,Yoren,Undirected,373,32,all
Arya-Stark,Yorko-Terys,Undirected,374,6,all
Arys-Oakheart,Cersei-Lannister,Undirected,375,3,all
Arys-Oakheart,Doran-Martell,Undirected,376,3,all
Arys-Oakheart,Garin-(orphan),Undirected,377,3,all
Arys-Oakheart,Gerold-Dayne,Undirected,378,6,all
Arys-Oakheart,Joffrey-Baratheon,Undirected,379,6,all
Arys-Oakheart,Myrcella-Baratheon,Undirected,380,22,all
Arys-Oakheart,Sansa-Stark,Undirected,381,3,all
Asha-Greyjoy,Balon-Greyjoy,Undirected,382,15,all
Asha-Greyjoy,Clayton-Suggs,Undirected,383,4,all
Asha-Greyjoy,Dagmer,Undirected,384,5,all
Asha-Greyjoy,Euron-Greyjoy,Undirected,385,23,all
Asha-Greyjoy,Galbart-Glover,Undirected,386,8,all
Asha-Greyjoy,Godry-Farring,Undirected,387,3,all
Asha-Greyjoy,Grimtongue,Undirected,388,3,all
Asha-Greyjoy,Hagen,Undirected,389,3,all
Asha-Greyjoy,Justin-Massey,Undirected,390,15,all
Asha-Greyjoy,Qarl-the-Maid,Undirected,391,8,all
Asha-Greyjoy,Red-Oarsman,Undirected,392,3,all
Asha-Greyjoy,Robert-Baratheon,Undirected,393,4,all
Asha-Greyjoy,Rodrik-Harlaw,Undirected,394,7,all
Asha-Greyjoy,Rolfe-the-Dwarf,Undirected,395,3,all
Asha-Greyjoy,Stannis-Baratheon,Undirected,396,16,all
Asha-Greyjoy,Sybelle-Glover,Undirected,397,3,all
Asha-Greyjoy,Theon-Greyjoy,Undirected,398,48,all
Asha-Greyjoy,Torgon-Greyiron,Undirected,399,3,all
Asha-Greyjoy,Tristifer-Botley,Undirected,400,16,all
Asha-Greyjoy,Tycho-Nestoris,Undirected,401,3,all
Asha-Greyjoy,Victarion-Greyjoy,Undirected,402,10,all
Asha-Greyjoy,Wex-Pyke,Undirected,403,3,all
Ashara-Dayne,Elia-Martell,Undirected,404,3,all
Aurane-Waters,Cersei-Lannister,Undirected,405,9,all
Aurane-Waters,Gyles-Rosby,Undirected,406,3,all
Aurane-Waters,Harys-Swyft,Undirected,407,5,all
Aurane-Waters,Loras-Tyrell,Undirected,408,3,all
Aurane-Waters,Margaery-Tyrell,Undirected,409,5,all
Aurane-Waters,Orton-Merryweather,Undirected,410,3,all
Aurane-Waters,Paxter-Redwyne,Undirected,411,3,all
Aurane-Waters,Stannis-Baratheon,Undirected,412,3,all
Aurane-Waters,Tommen-Baratheon,Undirected,413,3,all
Axell-Florent,Davos-Seaworth,Undirected,414,21,all
Axell-Florent,Jon-Snow,Undirected,415,4,all
Axell-Florent,Lamprey,Undirected,416,5,all
Axell-Florent,Melisandre,Undirected,417,9,all
Axell-Florent,Porridge,Undirected,418,5,all
Axell-Florent,Salladhor-Saan,Undirected,419,3,all
Axell-Florent,Selyse-Florent,Undirected,420,19,all
Axell-Florent,Shireen-Baratheon,Undirected,421,3,all
Axell-Florent,Stannis-Baratheon,Undirected,422,25,all
Azor-Ahai,Stannis-Baratheon,Undirected,423,6,all
Bael-the-Bard,Ygritte,Undirected,424,5,all
Baelor-Blacktyde,Balon-Greyjoy,Undirected,425,3,all
Baelor-Blacktyde,Euron-Greyjoy,Undirected,426,4,all
Baelor-Blacktyde,Victarion-Greyjoy,Undirected,427,4,all
Baelor-I-Targaryen,Cersei-Lannister,Undirected,428,8,all
Baelor-I-Targaryen,Sansa-Stark,Undirected,429,3,all
Baelor-I-Targaryen,Tyrion-Lannister,Undirected,430,3,all
Ballabar,Frenken,Undirected,431,4,all
Ballabar,Podrick-Payne,Undirected,432,3,all
Ballabar,Tyrion-Lannister,Undirected,433,16,all
Balman-Byrch,Bronn,Undirected,434,7,all
Balman-Byrch,Cersei-Lannister,Undirected,435,7,all
Balman-Byrch,Falyse-Stokeworth,Undirected,436,10,all
Balon-Greyjoy,Catelyn-Stark,Undirected,437,3,all
Balon-Greyjoy,Dagmer,Undirected,438,3,all
Balon-Greyjoy,Eddard-Stark,Undirected,439,7,all
Balon-Greyjoy,Euron-Greyjoy,Undirected,440,23,all
Balon-Greyjoy,Robb-Stark,Undirected,441,11,all
Balon-Greyjoy,Robert-Baratheon,Undirected,442,8,all
Balon-Greyjoy,Stannis-Baratheon,Undirected,443,8,all
Balon-Greyjoy,Theon-Greyjoy,Undirected,444,30,all
Balon-Greyjoy,Tywin-Lannister,Undirected,445,4,all
Balon-Greyjoy,Victarion-Greyjoy,Undirected,446,17,all
Balon-Swann,Boros-Blount,Undirected,447,3,all
Balon-Swann,Doran-Martell,Undirected,448,11,all
Balon-Swann,Gerold-Dayne,Undirected,449,3,all
Balon-Swann,Gregor-Clegane,Undirected,450,3,all
Balon-Swann,Jaime-Lannister,Undirected,451,8,all
Balon-Swann,Joffrey-Baratheon,Undirected,452,11,all
Balon-Swann,Loras-Tyrell,Undirected,453,10,all
Balon-Swann,Mandon-Moore,Undirected,454,3,all
Balon-Swann,Meryn-Trant,Undirected,455,3,all
Balon-Swann,Myrcella-Baratheon,Undirected,456,4,all
Balon-Swann,Osmund-Kettleblack,Undirected,457,7,all
Balon-Swann,Renly-Baratheon,Undirected,458,3,all
Balon-Swann,Sandor-Clegane,Undirected,459,3,all
Balon-Swann,Tyrion-Lannister,Undirected,460,15,all
Bannen,Dywen,Undirected,461,5,all
Bannen,Samwell-Tarly,Undirected,462,11,all
Barbrey-Dustin,Jeyne-Poole,Undirected,463,5,all
Barbrey-Dustin,Ramsay-Snow,Undirected,464,5,all
